,Unnamed: 0,Airline,Flight Number,Date of Departure,From,To,Duration,Total Stops,Price
404,404.0,Air Asia,I5-1563/941,"Tue, Mar 22",Bangalore,Mumbai,8h 45m,1 Stop,"3,379"
405,405.0,Air Asia,I5-582/482,"Tue, Mar 22",Jaipur,Mumbai,8h 50m,1 Stop,"3,379"
406,406.0,Air Asia,I5-552/482,"Tue, Mar 22",Bangalore,Mumbai,10h 40m,Non Stop,"3,379"
407,407.0,Go First,G8-512,"Tue, Mar 22",Jaipur,Mumbai,5h 10m,Non Stop,"3,380"
408,408.0,Go First,G8-519,"Tue, Mar 22",Bangalore,Mumbai,5h 25m,Non Stop,"3,380"
409,409.0,Vistara,UK-776,"Tue, Mar 22",Jaipur,Mumbai,7h 10m,Non Stop,"3,381"
410,410.0,SpiceJet,SG-8264,"Tue, Mar 22",Bangalore,New Delhi,2h 25m,Non Stop,"3,011"
411,411.0,Go First,G8-102,"Tue, Mar 22",Jaipur,New Delhi,2h 30m,Non Stop,"3,013"
412,412.0,Air Asia,I5-582/768,"Sat, Apr 9",Bangalore,New Delhi,2h 35m,Non Stop,"3,014"
413,413.0,Air Asia,I5-588/996,"Sat, Apr 9",Jaipur,New Delhi,6h 20m,Non Stop,"3,014"
414,414.0,Air Asia,I5-583/788,"Sat, Apr 9",Bangalore,New Delhi,7h 25m,Non Stop,"3,014"
415,415.0,Air Asia,I5-991/749,"Sat, Apr 9",Jaipur,New Delhi,7h 30m,Non Stop,"3,014"
416,416.0,Air Asia,I5-582/482,"Sat, Apr 9",Bangalore,New Delhi,7h 55m,Non Stop,"3,014"
417,417.0,Air Asia,I5-991/722,"Sat, Apr 9",Jaipur,New Delhi,8h 25m,1 Stop,"3,014"
418,418.0,Air Asia,I5-588/749,"Sat, Apr 9",Bangalore,New Delhi,9h 05m,1 Stop,"3,014"
419,419.0,Air Asia,I5-2473/996,"Sat, Apr 9",Jaipur,New Delhi,9h 25m,1 Stop,"3,014"
420,420.0,Air Asia,I5-991/1782,"Sat, Apr 9",Bangalore,Goa,11h 30m,1 Stop,"4,761"
421,421.0,Air Asia,I5-552/775,"Sat, Apr 9",New Delhi,Goa,14h 30m,1 Stop,"4,761"
